author_id,author,gender,COUNT of id
788,Norma Cuevas,F,1
789,Horacio Meguira,M,1
790,Susana Toporosi,F,1
791,Ernesto Fernández Nuñez,M,1
792,Mariana Kappelmayer de Palacios,F,1
793,Edi Zunino,M,1
794,Santiago O’Donnell,M,9
795,E. Raúl Zaffaroni,M,3
796,Andrés Ferrari Haines,M,9
797,Cristiana Schettini,F,1
798,Rubén Torres Parson,M,1
799,Pablo Fernández Blanco,M,3
800,Esteban Rubinstein,M,1
801,Beto Pianelli,M,1
802,Federico Saravia,M,1
803,Andrés J. Kreiner,M,3
804,Julia Pomares,F,2
805,Ricardo Beltrán,M,1
806,Alvaro Abós,M,8
807,Agustín Zbar,M,2
808,Marcelo Elizondo,M,8
809,José Luis Juresa,M,1
810,Fernanda Laguna,F,1
811,Mariel Carrubba Laraignée,F,1
812,Alejandro M. Correa,M,1
813,Julián Domínguez,M,2
814,Martín Gauto,M,1
815,Abelardo Franchini,M,1
816,David Brooks,M,1
817,"Alfredo Serrano Mancilla, Gisela Brito y Ava Gómez",X,1
818,Andres Valenzuela,M,1
819,Lidia Heller,F,1
820,Agustín D’Attellis,M,1
821,Mariano Beltrani,M,1
822,Chantal Mouffe,F,1
823,Agustín Colombo Sierra,M,1
824,Nicolás Comini,M,1
825,Alejandro Dujovne,M,2
826,Carlos Reboratti,M,2
827,Alejandro Drucaroff Aguiar,M,2
828,"Valeria Mutuberría Lazarini, Gabriela Buffa y Gabriela Nacht",F,1
829,Javier Rodríguez,M,1
830,Andrés Repar y Marcos Rebasa,M,1
831,Alejandro Corbacho,M,1
832,María Florencia Casamiquela,F,3
833,Manuel Castells,M,3
834,Daniel R. Viola,M,1
835,Mario Pujó,M,1
836,Iván Petrella,M,6
837,Alejandro Modarelli,M,1
838,Patricio Carmody,M,2
840,Carlos Alberto Rozanski,M,8
841,Constanza Mazzina,F,1
842,Elina Malamud,F,3
843,Federico Águila,M,1
844,Juan Pablo Álvarez,M,1
845,Fernando Vallespín,M,4
846,Bjørn Lomborg. The Project Syndicate / Especial para Clarín,M,1
847,Germán Garavano,M,3
849,Nicolás Artusi,M,4
850,Celina Chatruc,F,4
851,Fabio Quetglas,M,2
852,Fernando “Chino” Navarro,M,6
853,Mariano Molina,M,3
854,Juan Grabois,M,1
856,Pablo Brumovsky,M,2
857,Marcos Aguinis,M,2
